epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,9223.57,1.04594,0.85237,1.27611,0.83996,0.85791,0.89711,0.65564,0.95748,0.58172,1.20889,0.000585599,0.000585599,0.000585599
17,9688.53,1.03044,0.8436,1.27008,0.89553,0.84013,0.91303,0.66287,0.95015,0.53252,1.20048,0.000569106,0.000569106,0.000569106
18,10136.5,1.02134,0.79747,1.25456,0.90967,0.84537,0.92277,0.67234,0.94772,0.52144,1.17552,0.000552612,0.000552612,0.000552612
19,10605.4,1.00996,0.79244,1.25066,0.89,0.83871,0.90419,0.65581,0.97082,0.52803,1.19429,0.000536119,0.000536119,0.000536119
20,37512.1,0.98572,0.77689,1.2439,0.84936,0.82427,0.86924,0.63682,0.93722,0.56496,1.18971,0.000519625,0.000519625,0.000519625
21,38015.5,0.97473,0.78601,1.22932,0.88289,0.84568,0.90064,0.64456,0.97049,0.55578,1.22783,0.000503132,0.000503132,0.000503132
22,38637.4,0.97219,0.74733,1.23301,0.90439,0.8912,0.94271,0.70416,0.92589,0.50038,1.17423,0.000486639,0.000486639,0.000486639
23,39057.6,0.95517,0.74014,1.22128,0.88229,0.89482,0.93696,0.69291,0.92986,0.47429,1.18931,0.000470145,0.000470145,0.000470145
24,39503.1,0.93479,0.70805,1.20119,0.92447,0.86853,0.93097,0.68149,0.91429,0.47981,1.1721,0.000453652,0.000453652,0.000453652
25,39844,0.94702,0.71096,1.20762,0.92877,0.88268,0.94491,0.70817,0.9085,0.4749,1.16717,0.000437158,0.000437158,0.000437158
26,40238.3,0.92685,0.69185,1.19788,0.913,0.90814,0.9517,0.71802,0.88401,0.45102,1.14132,0.000420665,0.000420665,0.000420665
27,40679.9,0.91616,0.67446,1.18645,0.90947,0.84428,0.91939,0.70069,0.88123,0.46204,1.14104,0.000404172,0.000404172,0.000404172
28,41155.3,0.9124,0.66988,1.1764,0.92395,0.87805,0.94561,0.71443,0.89022,0.45333,1.14839,0.000387678,0.000387678,0.000387678
29,41580,0.9076,0.67363,1.18844,0.92399,0.94963,0.97579,0.75112,0.88499,0.4434,1.13636,0.000371185,0.000371185,0.000371185
30,42022.8,0.88356,0.64047,1.1657,0.93517,0.89961,0.95615,0.74426,0.86487,0.43506,1.12676,0.000354691,0.000354691,0.000354691
31,42439.7,0.8738,0.62637,1.16888,0.91219,0.92162,0.95934,0.75102,0.85049,0.43237,1.13181,0.000338198,0.000338198,0.000338198
32,42859.2,0.87059,0.61976,1.16303,0.91038,0.94756,0.96015,0.74171,0.86062,0.42387,1.11509,0.000321705,0.000321705,0.000321705
33,43308.3,0.86557,0.60278,1.15323,0.9161,0.93137,0.96755,0.75954,0.8546,0.41287,1.12356,0.000305211,0.000305211,0.000305211
34,43823.3,0.87556,0.61208,1.16215,0.91891,0.93401,0.96409,0.75576,0.85278,0.40437,1.11508,0.000288718,0.000288718,0.000288718
35,44293.1,0.85044,0.59497,1.14653,0.92976,0.92184,0.96225,0.75429,0.86385,0.41308,1.11433,0.000272224,0.000272224,0.000272224
36,44755.5,0.82407,0.57893,1.13518,0.92737,0.90498,0.95769,0.75981,0.83245,0.40699,1.10228,0.000255731,0.000255731,0.000255731
37,45201,0.83359,0.58506,1.14039,0.92538,0.91874,0.96384,0.75831,0.85412,0.4131,1.10949,0.000239238,0.000239238,0.000239238
38,45624.7,0.83842,0.57451,1.14026,0.93261,0.9417,0.96505,0.76217,0.84238,0.39595,1.11048,0.000222744,0.000222744,0.000222744
39,46080.5,0.80817,0.56207,1.13153,0.94108,0.89093,0.95935,0.76822,0.83438,0.38338,1.10424,0.000206251,0.000206251,0.000206251
40,46612,0.82367,0.56116,1.13023,0.92818,0.92373,0.95461,0.75791,0.83139,0.3909,1.10378,0.000189757,0.000189757,0.000189757
41,47027.7,0.72595,0.39786,1.07327,0.93072,0.89627,0.94881,0.75056,0.85353,0.39224,1.11005,0.000173264,0.000173264,0.000173264
